iteration,total_timesteps,loss,approx_kl,explained_variance,entropy_loss,learning_rate
110,901120,4.813075542449951,0.009330189,0.968537699431181,-10.03869180381298,<function linear_schedule.<locals>.func at 0x0000020697778720>
111,909312,210.98570251464844,0.005606899,0.8928425908088684,-10.037744526565074,<function linear_schedule.<locals>.func at 0x0000020697778720>
112,917504,243.11627197265625,0.0059616966,0.9528294801712036,-10.036844453215599,<function linear_schedule.<locals>.func at 0x0000020697778720>
113,925696,308.1741638183594,0.0069282306,0.9929886935278773,-10.031266383826733,<function linear_schedule.<locals>.func at 0x0000020697778720>
114,933888,356.1507263183594,0.006213507,0.9906430663540959,-10.00089888125658,<function linear_schedule.<locals>.func at 0x0000020697778720>
115,942080,349.3052978515625,0.0064100143,0.9849640596657991,-9.961809648573398,<function linear_schedule.<locals>.func at 0x0000020697778720>
116,950272,418.5941467285156,0.00525829,0.9892555512487888,-9.940637153387069,<function linear_schedule.<locals>.func at 0x0000020697778720>
117,958464,327.75439453125,0.0067189373,0.9924025400541723,-9.93809990286827,<function linear_schedule.<locals>.func at 0x0000020697778720>
118,966656,291.17431640625,0.007376444,0.9912231545895338,-9.958399020135403,<function linear_schedule.<locals>.func at 0x0000020697778720>
119,974848,267.49755859375,0.00577865,0.9899685308337212,-9.954052457213402,<function linear_schedule.<locals>.func at 0x0000020697778720>
120,983040,398.7898254394531,0.00593504,0.9921215511858463,-9.952279418706894,<function linear_schedule.<locals>.func at 0x0000020697778720>
121,991232,302.06195068359375,0.0065043457,0.9941608868539333,-9.969217005372048,<function linear_schedule.<locals>.func at 0x0000020697778720>
122,999424,288.7328796386719,0.0061608604,0.9958830322138965,-9.974869048595428,<function linear_schedule.<locals>.func at 0x0000020697778720>
123,1007616,353.7588806152344,0.0060852533,0.9864553306251764,-9.97386023402214,<function linear_schedule.<locals>.func at 0x0000020697778720>
124,1015808,218.46839904785156,0.005674933,0.987133520655334,-9.998132395744324,<function linear_schedule.<locals>.func at 0x0000020697778720>
125,1024000,386.59857177734375,0.0038662055,0.9763648267835379,-10.006606678664685,<function linear_schedule.<locals>.func at 0x0000020697778720>
126,1032192,17.115764617919922,0.0073917955,0.9205172955989838,-10.002689442038536,<function linear_schedule.<locals>.func at 0x0000020697778720>
127,1040384,30.430944442749023,0.0061230827,0.8606457263231277,-10.014992594718933,<function linear_schedule.<locals>.func at 0x0000020697778720>
128,1048576,16.11781883239746,0.008256452,0.947828147560358,-9.994137428700924,<function linear_schedule.<locals>.func at 0x0000020697778720>
129,1056768,58.05883026123047,0.006565258,0.8994285464286804,-9.963325625658035,<function linear_schedule.<locals>.func at 0x0000020697778720>
130,1064960,12.082002639770508,0.0067728246,0.7195369303226471,-9.981566220521927,<function linear_schedule.<locals>.func at 0x0000020697778720>
131,1073152,33.39265441894531,0.005869317,0.7846895158290863,-9.989726361632346,<function linear_schedule.<locals>.func at 0x0000020697778720>
132,1081344,34.912200927734375,0.0075296173,0.8709508627653122,-10.003711661696434,<function linear_schedule.<locals>.func at 0x0000020697778720>
133,1089536,49.43975830078125,0.005670347,0.9704087451100349,-9.97977905422449,<function linear_schedule.<locals>.func at 0x0000020697778720>
134,1097728,19.82623291015625,0.0067607984,0.9872074602171779,-9.937743079662322,<function linear_schedule.<locals>.func at 0x0000020697778720>
135,1105920,57.73723602294922,0.00542708,0.987237167544663,-9.912814681231975,<function linear_schedule.<locals>.func at 0x0000020697778720>
136,1114112,85.82250213623047,0.0058143977,0.9974241266027093,-9.91073336303234,<function linear_schedule.<locals>.func at 0x0000020697778720>
137,1122304,149.53233337402344,0.0062129567,0.9970213840715587,-9.902082492411136,<function linear_schedule.<locals>.func at 0x0000020697778720>
138,1130496,98.69461059570312,0.007341446,0.9980032679159194,-9.881982868909835,<function linear_schedule.<locals>.func at 0x0000020697778720>
